기관,공고번호,공고일,효력일,종료일,행위,서울자치구,주거지역기준_㎡초과,쪽수,파일
서울특별시,2023-3544,2023-12-21,2023-12-26,2024-12-25,지정,종로구|용산구|성동구|광진구|동대문구|중랑구|성북구|강북구|도봉구|은평구|서대문구|마포구|양천구|강서구|구로구|금천구|영등포구|동작구|관악구|강남구|송파구|강동구,6,59,시보20231220_p249-307.pdf
서울특별시,2024-11,2024-01-04,2024-01-02,2025-01-01,지정,구로구,6,3,시보20240103_p215-217.pdf
서울특별시,2024-1236,2024-04-18,2024-04-27,2025-04-26,지정,성동구|양천구|영등포구|강남구,6,5,시보20240418_p342-346.pdf
서울특별시,2024-1395,2024-05-09,2024-05-31,2025-05-30,지정,서초구|강남구,60,3,시보20240508_p315-317.pdf
서울특별시,2024-145,2024-01-18,2024-01-26,2025-01-25,지정,종로구|중구|동대문구|중랑구|강북구|마포구|양천구|구로구|영등포구|동작구|관악구|송파구|강동구,6,23,시보20240118_p119-141.pdf
서울특별시,2024-1658,2024-05-30,2024-06-04,2025-08-30,지정,동대문구|성북구|강북구|도봉구|양천구|관악구,6,9,시보20240529_p301-309.pdf
서울특별시,2024-1781,2024-06-13,2024-06-23,2025-06-22,지정,강남구|송파구,6,3,시보20240613_p3-5.pdf
서울특별시,2024-2175,2024-07-25,2024-06-04,2025-08-30,지정,양천구,6,3,시보20240724_p339-341.pdf
서울특별시,2024-2249,2024-08-01,2024-08-06,2025-08-30,지정,종로구|용산구|성동구|중랑구|도봉구|은평구|마포구|양천구|구로구|금천구|영등포구|서초구|강동구,6,22,시보20240731_p291-312.pdf
서울특별시,2024-2315,2024-08-08,2024-08-13,2024-12-31,지정,종로구|광진구|중랑구|성북구|강북구|도봉구|노원구|은평구|서대문구|마포구|양천구|강서구|구로구|금천구|관악구|서초구|강남구|강동구,60,4,시보20240808_p4-7.pdf
