기관,파일,공고일,효력일,종료일,계열,행위,근거공고,지정지역_문장,동별면적,주거기준_㎡초과,텍스트길이
서울특별시,시보20240418_p342-346.pdf,2024-04-18,2024-04-27,2025-04-26,주요재건축단지,재지정,2024-1236|2023-1185,"주요 재건축 단지등 4,578,039㎡",,6,743
서울특별시,시보20240329_p302-302.pdf,2024-03-28,2024-04-04,2025-04-03,공공재개발,재지정,2024-972|2024-914,공공재개발 후보지,,6,628
서울특별시,시보20240320_p339-342.pdf,2024-03-21,2024-04-04,2025-04-03,신속통합기획|공공재개발,조정,2024-914,7개소(0.60㎢),,6,2244
서울특별시,시보20240118_p119-141.pdf,2024-01-18,2024-01-26,2025-01-25,주요재건축단지|신속통합기획|공공재개발,조정,2024-145,19개소(0.94㎢),,6,2131
서울특별시,시보20240103_p215-217.pdf,2024-01-04,2024-01-02,2025-01-01,신속통합기획,재지정,2024-11|2023-3544,신속통합기획(재개발) 선정지,,6,735
서울특별시,시보20231220_p249-307.pdf,2023-12-21,2023-12-26,2024-12-25,주요재건축단지|신속통합기획,조정,2023-3544,4개소(0.20㎢),,6,4707
국토교통부,국토교통부공고제2023-1581호(토지거래허가구역 조정 공고).pdf,2023-12-18,2023-12-26,2024-12-25,미분류,해제,2023-1581|2022-1566,,,60,1386
서울특별시,시보20230817_p12-52.pdf,2023-08-17,2023-08-22,2024-08-21,주요재건축단지|신속통합기획|공공재개발,재지정,,5개소,,,3031
서울특별시,시보20230614_p532-534.pdf,2023-06-15,2023-06-23,2024-06-22,국제교류복합지구,재지정,2022-1795,"서울특별시 강남구, 송파구 일원 14.4㎢",잠실동:5.2,,671
국토교통부,국토교통부공고제2023-487호(토지거래허가구역 재지정 공고).pdf,2023-04-27,2023-05-20,2024-05-19,용산정비창,재지정,2023-487|2022-532,,,6,596
국토교통부,국토교통부공고제2023-486호(토지거래허가구역 조정 공고).pdf,2023-04-27,2023-05-13,2024-05-12,미분류,조정,2023-486|2022-531,,,60,931
서울특별시,시보20230419_p263-267.pdf,2023-04-20,2023-04-27,2024-04-26,주요재건축단지,재지정,2022-1166,"주요 재건축 단지등 4,578,039㎡",,,709
