연번,지정권자,지정구분,최초지정일,면적_km2,비고,아파트관련
1,서울시장,강남·송파·서초·용산구,2025-03-24,區 전체,'아파트' 용도,직접
2,서울시장,잠실·삼성·대치·청담 재건축 아파트,2020-06-23,1.43,14개 단지 '아파트' 용도,직접
3,서울시장,압구정·여의도·목동·성수,2021-04-27,4.58,주요 재건축 단지 등,직접
4,서울시장,강남·서초 자연녹지지역,1998-11-19,26.69,서리풀지구 포함,간접-확인필요
5,서울시장,신속통합기획,2022-01-02,10.36,160개소,통제군오염-확인필요
6,서울시장,공공재개발,2021-01-26,1.76,32개소,통제군오염-확인필요
7,서울시장,모아타운 및 인근지역,2024-09-10,11.98,135개소 지목 '도로',통제군오염-확인필요
8,국토교통부장관,용산 국제업무지구 및 인근지역,2020-05-20,0.72,용산정비창,직접
9,국토교통부장관,외국인 대상 주택 용도,2025-08-26,市 전체,"단독,다가구,아파트,연립,다세대",식별불가구간
10,국토교통부장관,서울시 25개 區 전체,2025-10-20,市 전체,아파트(연립·다세대 혼재 15개 단지 포함),식별불가구간
11,국토교통부장관,신규 주택공급 후보지 발굴,2026-08-13,115.31,19개 區내 개발제한구역,식별불가구간
