자치구,법정동,일자,전이,계열,근거공고
용산구,용산동3가,2020-05-20,지정 시작,용산정비창|자연녹지,국토교통부공고제2020-657호(토지거래허가구역 지정)
용산구,이촌동,2020-05-20,지정 시작,미분류|서울전역아파트|외국인|용산정비창|자연녹지|주요재건축단지,국토교통부공고제2020-657호(토지거래허가구역 지정)|국토교통부공고제2021-658호(토지거래허가구역 재지정 공고)|국토교통부공고제2022-532호(토지거래허가구역 재지정 공고)|국토교통부공고제2023-487호(토
용산구,한강로1가,2020-05-20,지정 시작,용산정비창|자연녹지,국토교통부공고제2020-657호(토지거래허가구역 지정)
용산구,한강로2가,2020-05-20,지정 시작,용산정비창|자연녹지,국토교통부공고제2020-657호(토지거래허가구역 지정)
용산구,한강로3가,2020-05-20,지정 시작,용산정비창|자연녹지,국토교통부공고제2020-657호(토지거래허가구역 지정)
강남구,대치동,2020-06-23,지정 시작,국제교류복합지구,시보2020호3590_p105-107|시보20210609_p356-358|시보20220616_p3-5|시보20230614_p532-534|시보20240613_p3-5
강남구,삼성동,2020-06-23,지정 시작,국제교류복합지구,시보2020호3590_p105-107|시보20210609_p356-358|시보20220616_p3-5|시보20230614_p532-534|시보20240613_p3-5
강남구,청담동,2020-06-23,지정 시작,공공재개발|국제교류복합지구|서울전역아파트|신속통합기획|외국인|정비사업후보지|주요재건축단지,국토교통부공고제2025-1058호(토지거래허가구역 지정 공고)|국토교통부공고제2025-1219호(토지거래허가구역 지정 공고문)|국토교통부공고제2026-1105호(토지거래허가구역 재지정 공고)|시보2020호3590_p
송파구,잠실동,2020-06-23,지정 시작,국제교류복합지구|주요재건축단지,시보2020호3590_p105-107|시보20210609_p356-358|시보20220616_p3-5|시보20230614_p532-534|시보20240613_p3-5|시보20250319_p3-8
강서구,오곡동,2020-12-26,지정 시작,미분류,국토교통부공고제2020-1632호(토지거래허가구역 재지정)|국토교통부공고제2021-1805호(토지거래허가구역  재지정 공고)|국토교통부공고제2022-1566호(토지거래허가구역 재지정 공고)|국토교통부공고제2023-1
강동구,천호동,2021-04-04,지정 시작,공공재개발|국제교류복합지구|모아타운|미분류|서울전역아파트|신속통합기획|외국인|자연녹지|정비사업후보지|주요재건축단지,국토교통부공고제2025-1058호(토지거래허가구역 지정 공고)|국토교통부공고제2025-1219호(토지거래허가구역 지정 공고문)|국토교통부공고제2026-1105호(토지거래허가구역 재지정 공고)|시보20210330_p1
노원구,상계동,2021-04-04,지정 시작,공공재개발|국제교류복합지구|모아타운|서울전역아파트|신규주택공급후보지|신속통합기획|정비사업후보지|주요재건축단지,국토교통부공고제2025-1219호(토지거래허가구역 지정 공고문)|국토교통부공고제2026-1079호(토지거래허가구역 지정 공고)|시보20210330_p16-33|시보20211228_p17-40|시보20220323_p9
동대문구,전농동,2021-04-04,지정 시작,공공재개발|모아타운|미분류|서울전역아파트|신속통합기획|정비사업후보지|주요재건축단지,국토교통부공고제2025-1219호(토지거래허가구역 지정 공고문)|시보20210330_p16-33|시보20220124_p7-53|시보20220323_p91-108|시보20221230_p179-233|시보20230118
동작구,본동,2021-04-04,지정 시작,공공재개발|서울전역아파트|신속통합기획|정비사업후보지,국토교통부공고제2025-1219호(토지거래허가구역 지정 공고문)|시보20210330_p16-33|시보20220323_p91-108|시보20230322_p181-205|시보20240320_p339-342|시보20250
서대문구,연희동,2021-04-04,지정 시작,공공재개발|국제교류복합지구|모아타운|서울전역아파트|신속통합기획|자연녹지|정비사업후보지,국토교통부공고제2025-1219호(토지거래허가구역 지정 공고문)|시보20210330_p16-33|시보20220323_p91-108|시보20230322_p181-205|시보20240320_p339-342|시보20250
서대문구,충정로3가,2021-04-04,지정 시작,공공재개발|서울전역아파트|신속통합기획|정비사업후보지,국토교통부공고제2025-1219호(토지거래허가구역 지정 공고문)|시보20210330_p16-33|시보20220323_p91-108|시보20230322_p181-205|시보20240320_p339-342|시보20250
서대문구,홍은동,2021-04-04,지정 시작,공공재개발|국제교류복합지구|모아타운|서울전역아파트|신규주택공급후보지|신속통합기획|정비사업후보지|주요재건축단지,국토교통부공고제2025-1219호(토지거래허가구역 지정 공고문)|국토교통부공고제2026-1079호(토지거래허가구역 지정 공고)|시보20210330_p16-33|시보20211228_p17-40|시보20220323_p9
성동구,금호동4가,2021-04-04,지정 시작,공공재개발|모아타운|서울전역아파트|신속통합기획|정비사업후보지,국토교통부공고제2025-1219호(토지거래허가구역 지정 공고문)|시보20210330_p16-33|시보20220323_p91-108|시보20230322_p181-205|시보20240320_p339-342|시보20250
성북구,성북동,2021-04-04,지정 시작,공공재개발|국제교류복합지구|모아타운|서울전역아파트|신규주택공급후보지|신속통합기획|정비사업후보지|주요재건축단지,국토교통부공고제2025-1219호(토지거래허가구역 지정 공고문)|국토교통부공고제2026-1079호(토지거래허가구역 지정 공고)|시보20210330_p16-33|시보20220323_p91-108|시보20220826_p
성북구,장위동,2021-04-04,지정 시작,공공재개발|국제교류복합지구|모아타운|서울전역아파트|신속통합기획|자연녹지|정비사업후보지,국토교통부공고제2025-1219호(토지거래허가구역 지정 공고문)|시보20210330_p16-33|시보20220323_p91-108|시보20230322_p181-205|시보20240320_p339-342|시보20250
송파구,거여동,2021-04-04,지정 시작,공공재개발|서울전역아파트|신속통합기획|정비사업후보지,국토교통부공고제2025-1219호(토지거래허가구역 지정 공고문)|시보20210330_p16-33|시보20220323_p91-108|시보20230322_p181-205|시보20240320_p339-342|시보20250
양천구,신월동,2021-04-04,지정 시작,공공재개발|국제교류복합지구|모아타운|서울전역아파트|신규주택공급후보지|신속통합기획|자연녹지|정비사업후보지|주요재건축단지,국토교통부공고제2025-1219호(토지거래허가구역 지정 공고문)|국토교통부공고제2026-1079호(토지거래허가구역 지정 공고)|시보20210330_p16-33|시보20220323_p91-108|시보20220826_p
영등포구,신길동,2021-04-04,지정 시작,공공재개발|모아타운|미분류|서울전역아파트|신속통합기획|정비사업후보지|주요재건축단지,국토교통부공고제2025-1219호(토지거래허가구역 지정 공고문)|시보20210330_p16-33|시보20220124_p7-53|시보20220323_p91-108|시보20220826_p38-82|시보20230118_p
종로구,숭인동,2021-04-04,지정 시작,공공재개발|모아타운|서울전역아파트|신속통합기획|외국인|정비사업후보지|주요재건축단지,국토교통부공고제2025-1219호(토지거래허가구역 지정 공고문)|국토교통부공고제2026-1105호(토지거래허가구역 재지정 공고)|시보20210330_p16-33|시보20211228_p17-40|시보20220323_p
중랑구,중화동,2021-04-04,지정 시작,공공재개발|모아타운|서울전역아파트|신속통합기획|외국인|정비사업후보지|주요재건축단지,국토교통부공고제2025-1219호(토지거래허가구역 지정 공고문)|국토교통부공고제2026-1105호(토지거래허가구역 재지정 공고)|시보20210330_p16-33|시보20220323_p91-108|시보20220819_
강남구,압구정동,2021-04-27,지정 시작,모아타운|서울전역아파트|신속통합기획|외국인|정비사업후보지|주요재건축단지,국토교통부공고제2025-1058호(토지거래허가구역 지정 공고)|국토교통부공고제2025-1219호(토지거래허가구역 지정 공고문)|국토교통부공고제2026-1105호(토지거래허가구역 재지정 공고)|시보20210422_p2
성동구,성수동1가,2021-04-27,지정 시작,모아타운|서울전역아파트|신속통합기획|정비사업후보지|주요재건축단지,국토교통부공고제2025-1219호(토지거래허가구역 지정 공고문)|시보20210422_p253-257|시보20220420_p356-360|시보20230419_p263-267|시보20240418_p342-346|시보20
성동구,성수동2가,2021-04-27,지정 시작,모아타운|서울전역아파트|신속통합기획|정비사업후보지|주요재건축단지,국토교통부공고제2025-1219호(토지거래허가구역 지정 공고문)|시보20210422_p253-257|시보20220420_p356-360|시보20230419_p263-267|시보20240418_p342-346|시보20
양천구,목동,2021-04-27,지정 시작,공공재개발|모아타운|서울전역아파트|신속통합기획|정비사업후보지|주요재건축단지,국토교통부공고제2025-1219호(토지거래허가구역 지정 공고문)|시보20210422_p253-257|시보20220420_p356-360|시보20221230_p179-233|시보20230419_p263-267|시보20
영등포구,여의도동,2021-04-27,지정 시작,모아타운|서울전역아파트|신속통합기획|정비사업후보지|주요재건축단지,국토교통부공고제2025-1219호(토지거래허가구역 지정 공고문)|시보20210422_p253-257|시보20220420_p356-360|시보20230419_p263-267|시보20240418_p342-346|시보20
용산구,용산동3가,2021-05-20,지정 종료,용산정비창|자연녹지,국토교통부공고제2020-657호(토지거래허가구역 지정)
용산구,용산동3가,2021-05-20,기록 끊김,,
용산구,한강로1가,2021-05-20,지정 종료,용산정비창|자연녹지,국토교통부공고제2020-657호(토지거래허가구역 지정)
용산구,한강로1가,2021-05-20,기록 끊김,,
용산구,한강로2가,2021-05-20,지정 종료,용산정비창|자연녹지,국토교통부공고제2020-657호(토지거래허가구역 지정)
용산구,한강로2가,2021-05-20,기록 끊김,,
용산구,한강로3가,2021-05-20,지정 종료,용산정비창|자연녹지,국토교통부공고제2020-657호(토지거래허가구역 지정)
용산구,한강로3가,2021-05-20,기록 끊김,,
강북구,수유동,2022-01-02,지정 시작,공공재개발|국제교류복합지구|모아타운|미분류|서울전역아파트|신규주택공급후보지|신속통합기획|외국인|자연녹지|정비사업후보지|주요재건축단지,국토교통부공고제2025-1058호(토지거래허가구역 지정 공고)|국토교통부공고제2025-1219호(토지거래허가구역 지정 공고문)|국토교통부공고제2026-1079호(토지거래허가구역 지정 공고)|국토교통부공고제2026-1
강서구,방화동,2022-01-02,지정 시작,공공재개발|모아타운|서울전역아파트|신속통합기획|외국인|정비사업후보지|주요재건축단지,국토교통부공고제2025-1058호(토지거래허가구역 지정 공고)|국토교통부공고제2025-1219호(토지거래허가구역 지정 공고문)|국토교통부공고제2026-1105호(토지거래허가구역 재지정 공고)|시보20211228_p1
관악구,신림동,2022-01-02,지정 시작,공공재개발|국제교류복합지구|모아타운|서울전역아파트|신규주택공급후보지|신속통합기획|외국인|정비사업후보지|주요재건축단지,국토교통부공고제2025-1058호(토지거래허가구역 지정 공고)|국토교통부공고제2025-1219호(토지거래허가구역 지정 공고문)|국토교통부공고제2026-1079호(토지거래허가구역 지정 공고)|국토교통부공고제2026-1
구로구,가리봉동,2022-01-02,지정 시작,미분류|신속통합기획|정비사업후보지|주요재건축단지,시보20211228_p17-40|시보20220124_p7-53|시보20221223_p7-30|시보20221230_p179-233|시보20231220_p249-307|시보20240103_p215-217
금천구,시흥동,2022-01-02,지정 시작,공공재개발|국제교류복합지구|모아타운|서울전역아파트|신규주택공급후보지|신속통합기획|정비사업후보지|주요재건축단지,국토교통부공고제2025-1219호(토지거래허가구역 지정 공고문)|국토교통부공고제2026-1079호(토지거래허가구역 지정 공고)|시보20211228_p17-40|시보20220826_p38-82|시보20221223_p7
도봉구,쌍문동,2022-01-02,지정 시작,공공재개발|국제교류복합지구|모아타운|서울전역아파트|신규주택공급후보지|신속통합기획|정비사업후보지|주요재건축단지,국토교통부공고제2025-1219호(토지거래허가구역 지정 공고문)|국토교통부공고제2026-1079호(토지거래허가구역 지정 공고)|시보20211228_p17-40|시보20221223_p7-30|시보20221230_p17
동대문구,청량리동,2022-01-02,지정 시작,신속통합기획|정비사업후보지|주요재건축단지,시보20211228_p17-40|시보20221223_p7-30|시보20231220_p249-307
동작구,상도동,2022-01-02,지정 시작,공공재개발|국제교류복합지구|모아타운|서울전역아파트|신속통합기획|정비사업후보지|주요재건축단지,국토교통부공고제2025-1219호(토지거래허가구역 지정 공고문)|시보20211228_p17-40|시보20221223_p7-30|시보20221230_p179-233|시보20231220_p249-307|시보2024090
마포구,공덕동,2022-01-02,지정 시작,공공재개발|모아타운|서울전역아파트|신속통합기획|정비사업후보지|주요재건축단지,국토교통부공고제2025-1219호(토지거래허가구역 지정 공고문)|시보20211228_p17-40|시보20221223_p7-30|시보20231220_p249-307|시보20240731_p291-312|시보2024121
성동구,마장동,2022-01-02,지정 시작,공공재개발|모아타운|서울전역아파트|신속통합기획|정비사업후보지|주요재건축단지,국토교통부공고제2025-1219호(토지거래허가구역 지정 공고문)|시보20211228_p17-40|시보20221223_p7-30|시보20231220_p249-307|시보20240905_p3-79|시보20241218_p
성북구,하월곡동,2022-01-02,지정 시작,신속통합기획|정비사업후보지|주요재건축단지,시보20211228_p17-40|시보20221223_p7-30|시보20231220_p249-307
송파구,마천동,2022-01-02,지정 시작,공공재개발|모아타운|미분류|서울전역아파트|신규주택공급후보지|신속통합기획|자연녹지|정비사업후보지|주요재건축단지,국토교통부공고제2024-1140호(토지거래허가구역 지정 공고)|국토교통부공고제2024-1506호(토지거래허가구역 지정 및 해제 공고)|국토교통부공고제2025-1219호(토지거래허가구역 지정 공고문)|국토교통부공고제2
영등포구,당산동6가,2022-01-02,지정 시작,신속통합기획|정비사업후보지|주요재건축단지,시보20211228_p17-40|시보20221223_p7-30|시보20231220_p249-307
은평구,불광동,2022-01-02,지정 시작,공공재개발|국제교류복합지구|모아타운|서울전역아파트|신속통합기획|외국인|자연녹지|정비사업후보지|주요재건축단지,국토교통부공고제2025-1219호(토지거래허가구역 지정 공고문)|국토교통부공고제2026-1105호(토지거래허가구역 재지정 공고)|시보20211228_p17-40|시보20221223_p7-30|시보20221230_p1
종로구,창신동,2022-01-02,지정 시작,신속통합기획|정비사업후보지|주요재건축단지,시보20211228_p17-40|시보20221223_p7-30|시보20221230_p179-233|시보20231220_p249-307
중랑구,면목동,2022-01-02,지정 시작,공공재개발|국제교류복합지구|모아타운|미분류|서울전역아파트|신규주택공급후보지|신속통합기획|외국인|정비사업후보지|주요재건축단지,국토교통부공고제2025-1219호(토지거래허가구역 지정 공고문)|국토교통부공고제2026-1079호(토지거래허가구역 지정 공고)|국토교통부공고제2026-1105호(토지거래허가구역 재지정 공고)|시보20211228_p1
강남구,일원동,2022-01-29,지정 시작,미분류|신속통합기획,시보20220124_p7-53|시보20220826_p38-82
강동구,명일동,2022-01-29,지정 시작,공공재개발|국제교류복합지구|모아타운|미분류|서울전역아파트|신속통합기획|외국인|정비사업후보지|주요재건축단지,국토교통부공고제2025-1058호(토지거래허가구역 지정 공고)|국토교통부공고제2025-1219호(토지거래허가구역 지정 공고문)|국토교통부공고제2026-1105호(토지거래허가구역 재지정 공고)|시보20220124_p7
강동구,상일동,2022-01-29,지정 시작,미분류|신속통합기획,시보20220124_p7-53|시보20220826_p38-82
강북구,미아동,2022-01-29,지정 시작,공공재개발|국제교류복합지구|모아타운|미분류|서울전역아파트|신속통합기획|외국인|정비사업후보지|주요재건축단지,국토교통부공고제2025-1058호(토지거래허가구역 지정 공고)|국토교통부공고제2025-1219호(토지거래허가구역 지정 공고문)|국토교통부공고제2026-1105호(토지거래허가구역 재지정 공고)|시보20220124_p7
강북구,번동,2022-01-29,지정 시작,공공재개발|모아타운|미분류|서울전역아파트|신속통합기획|외국인|정비사업후보지|주요재건축단지,국토교통부공고제2025-1058호(토지거래허가구역 지정 공고)|국토교통부공고제2025-1219호(토지거래허가구역 지정 공고문)|국토교통부공고제2026-1105호(토지거래허가구역 재지정 공고)|시보20220124_p7
광진구,자양동,2022-01-29,지정 시작,공공재개발|국제교류복합지구|모아타운|미분류|서울전역아파트|신속통합기획|외국인|자연녹지|정비사업후보지|주요재건축단지,국토교통부공고제2025-1058호(토지거래허가구역 지정 공고)|국토교통부공고제2025-1219호(토지거래허가구역 지정 공고문)|국토교통부공고제2026-1105호(토지거래허가구역 재지정 공고)|시보20220124_p7
도봉구,방학동,2022-01-29,지정 시작,공공재개발|국제교류복합지구|모아타운|미분류|서울전역아파트|신규주택공급후보지|신속통합기획|정비사업후보지|주요재건축단지,국토교통부공고제2025-1219호(토지거래허가구역 지정 공고문)|국토교통부공고제2026-1079호(토지거래허가구역 지정 공고)|시보20220124_p7-53|시보20221230_p179-233|시보20231220_p
도봉구,창동,2022-01-29,지정 시작,미분류|신속통합기획,시보20220124_p7-53|시보20220826_p38-82
동대문구,휘경동,2022-01-29,지정 시작,미분류|정비사업후보지|주요재건축단지,시보20220124_p7-53|시보20221230_p179-233
동작구,흑석동,2022-01-29,지정 시작,미분류|정비사업후보지|주요재건축단지,시보20220124_p7-53|시보20221230_p179-233
마포구,대흥동,2022-01-29,지정 시작,공공재개발|모아타운|미분류|서울전역아파트|신속통합기획|정비사업후보지|주요재건축단지,국토교통부공고제2025-1219호(토지거래허가구역 지정 공고문)|시보20220124_p7-53|시보20230118_p234-257|시보20240118_p119-141|시보20240320_p339-342|시보20240
마포구,망원동,2022-01-29,지정 시작,공공재개발|모아타운|미분류|서울전역아파트|신속통합기획|정비사업후보지|주요재건축단지,국토교통부공고제2025-1219호(토지거래허가구역 지정 공고문)|시보20220124_p7-53|시보20220826_p38-82|시보20221230_p179-233|시보20231220_p249-307|시보2024090
성동구,사근동,2022-01-29,지정 시작,공공재개발|모아타운|미분류|서울전역아파트|신속통합기획|정비사업후보지|주요재건축단지,국토교통부공고제2025-1219호(토지거래허가구역 지정 공고문)|시보20220124_p7-53|시보20220826_p38-82|시보20221230_p179-233|시보20231220_p249-307|시보2024090
성동구,행당동,2022-01-29,지정 시작,공공재개발|모아타운|미분류|서울전역아파트|신속통합기획|정비사업후보지|주요재건축단지,국토교통부공고제2025-1219호(토지거래허가구역 지정 공고문)|시보20220124_p7-53|시보20221230_p179-233|시보20231220_p249-307|시보20240731_p291-312|시보20240
성북구,삼선동1가,2022-01-29,지정 시작,미분류|신속통합기획|정비사업후보지|주요재건축단지,시보20220124_p7-53|시보20220826_p38-82|시보20221230_p179-233
성북구,석관동,2022-01-29,지정 시작,공공재개발|국제교류복합지구|모아타운|미분류|서울전역아파트|신속통합기획|자연녹지|정비사업후보지|주요재건축단지,국토교통부공고제2025-1219호(토지거래허가구역 지정 공고문)|시보20220124_p7-53|시보20221230_p179-233|시보20231220_p249-307|시보20240905_p3-79|시보20241218
성북구,정릉동,2022-01-29,지정 시작,미분류|신속통합기획|정비사업후보지|주요재건축단지,시보20220124_p7-53|시보20220826_p38-82|시보20221230_p179-233
송파구,송파동,2022-01-29,지정 시작,공공재개발|모아타운|미분류|서울전역아파트|신속통합기획|정비사업후보지|주요재건축단지,국토교통부공고제2025-1219호(토지거래허가구역 지정 공고문)|시보20220124_p7-53|시보20230118_p234-257|시보20240118_p119-141|시보20241218_p364-437|시보20251
송파구,신천동,2022-01-29,지정 시작,공공재개발|모아타운|미분류|서울전역아파트|신속통합기획|정비사업후보지|주요재건축단지,국토교통부공고제2025-1219호(토지거래허가구역 지정 공고문)|시보20220124_p7-53|시보20230118_p234-257|시보20240118_p119-141|시보20241218_p364-437|시보20251
양천구,신정동,2022-01-29,지정 시작,공공재개발|국제교류복합지구|모아타운|미분류|서울전역아파트|신규주택공급후보지|신속통합기획|정비사업후보지|주요재건축단지,국토교통부공고제2025-1219호(토지거래허가구역 지정 공고문)|국토교통부공고제2026-1079호(토지거래허가구역 지정 공고)|시보20220124_p7-53|시보20230118_p234-257|시보20240118_p
영등포구,대림동,2022-01-29,지정 시작,미분류|신속통합기획|정비사업후보지|주요재건축단지,시보20220124_p7-53|시보20220826_p38-82|시보20221230_p179-233|시보20231220_p249-307
용산구,서계동,2022-01-29,지정 시작,공공재개발|모아타운|미분류|서울전역아파트|신속통합기획|외국인|정비사업후보지|주요재건축단지,국토교통부공고제2025-1219호(토지거래허가구역 지정 공고문)|국토교통부공고제2026-1105호(토지거래허가구역 재지정 공고)|시보20220124_p7-53|시보20221230_p179-233|시보20231220_
용산구,원효로3가,2022-01-29,지정 시작,미분류|신속통합기획|정비사업후보지|주요재건축단지,시보20220124_p7-53|시보20220826_p38-82|시보20221230_p179-233
용산구,이태원동,2022-01-29,지정 시작,미분류|정비사업후보지|주요재건축단지,시보20220124_p7-53|시보20221230_p179-233
은평구,신사동,2022-01-29,지정 시작,미분류|신속통합기획|정비사업후보지|주요재건축단지,시보20220124_p7-53|시보20220826_p38-82|시보20221230_p179-233|시보20231220_p249-307
은평구,응암동,2022-01-29,지정 시작,미분류|신속통합기획|정비사업후보지|주요재건축단지,시보20220124_p7-53|시보20220826_p38-82|시보20221230_p179-233
종로구,연건동,2022-01-29,지정 시작,미분류|신속통합기획,시보20220124_p7-53|시보20220826_p38-82
종로구,체부동,2022-01-29,지정 시작,공공재개발|미분류|신속통합기획,시보20220124_p7-53|시보20230118_p234-257
중구,신당동,2022-01-29,지정 시작,공공재개발|모아타운|미분류|서울전역아파트|신속통합기획|외국인|정비사업후보지|주요재건축단지,국토교통부공고제2025-1219호(토지거래허가구역 지정 공고문)|국토교통부공고제2026-1105호(토지거래허가구역 재지정 공고)|시보20220124_p7-53|시보20230118_p234-257|시보20240118_
중구,장충동2가,2022-01-29,지정 시작,공공재개발|모아타운|미분류|서울전역아파트|신속통합기획|외국인|정비사업후보지|주요재건축단지,국토교통부공고제2025-1219호(토지거래허가구역 지정 공고문)|국토교통부공고제2026-1105호(토지거래허가구역 재지정 공고)|시보20220124_p7-53|시보20230118_p234-257|시보20240118_
중랑구,망우동,2022-01-29,지정 시작,공공재개발|국제교류복합지구|모아타운|미분류|서울전역아파트|신규주택공급후보지|신속통합기획|외국인|정비사업후보지|주요재건축단지,국토교통부공고제2025-1219호(토지거래허가구역 지정 공고문)|국토교통부공고제2026-1079호(토지거래허가구역 지정 공고)|국토교통부공고제2026-1105호(토지거래허가구역 재지정 공고)|시보20220124_p7
용산구,용산동3가,2022-05-20,기록 재개,,
용산구,용산동3가,2022-05-20,지정 시작,용산정비창,국토교통부공고제2022-532호(토지거래허가구역 재지정 공고)|국토교통부공고제2023-487호(토지거래허가구역 재지정 공고)
용산구,한강로1가,2022-05-20,기록 재개,,
용산구,한강로1가,2022-05-20,지정 시작,서울전역아파트|외국인|용산정비창|주요재건축단지,국토교통부공고제2022-532호(토지거래허가구역 재지정 공고)|국토교통부공고제2023-487호(토지거래허가구역 재지정 공고)|국토교통부공고제2024-703호(토지거래허가구역 조정 공고)|국토교통부공고제2025-121
용산구,한강로2가,2022-05-20,기록 재개,,
용산구,한강로2가,2022-05-20,지정 시작,용산정비창,국토교통부공고제2022-532호(토지거래허가구역 재지정 공고)|국토교통부공고제2023-487호(토지거래허가구역 재지정 공고)
용산구,한강로3가,2022-05-20,기록 재개,,
용산구,한강로3가,2022-05-20,지정 시작,공공재개발|국제교류복합지구|서울전역아파트|신속통합기획|외국인|용산정비창|정비사업후보지|주요재건축단지,국토교통부공고제2022-532호(토지거래허가구역 재지정 공고)|국토교통부공고제2023-487호(토지거래허가구역 재지정 공고)|국토교통부공고제2024-703호(토지거래허가구역 조정 공고)|국토교통부공고제2025-121
강동구,고덕동,2022-08-31,지정 시작,신속통합기획,시보20220826_p38-82
구로구,개봉동,2022-08-31,지정 시작,신속통합기획|정비사업후보지|주요재건축단지,시보20220826_p38-82|시보20221230_p179-233
구로구,구로동,2022-08-31,지정 시작,신속통합기획,시보20220826_p38-82
구로구,오류동,2022-08-31,지정 시작,신속통합기획|정비사업후보지|주요재건축단지,시보20220826_p38-82|시보20221230_p179-233
동대문구,용두동,2022-08-31,지정 시작,공공재개발|모아타운|서울전역아파트|신속통합기획|정비사업후보지|주요재건축단지,국토교통부공고제2025-1219호(토지거래허가구역 지정 공고문)|시보20220826_p38-82|시보20221230_p179-233|시보20231220_p249-307|시보20240118_p119-141|시보2024
마포구,아현동,2022-08-31,지정 시작,신속통합기획,시보20220826_p38-82
서대문구,홍제동,2022-08-31,지정 시작,공공재개발|국제교류복합지구|모아타운|서울전역아파트|신규주택공급후보지|신속통합기획|정비사업후보지|주요재건축단지,국토교통부공고제2025-1219호(토지거래허가구역 지정 공고문)|국토교통부공고제2026-1079호(토지거래허가구역 지정 공고)|시보20220826_p38-82|시보20221230_p179-233|시보20231220_
영등포구,도림동,2022-08-31,지정 시작,신속통합기획,시보20220826_p38-82
영등포구,양평동6가,2022-08-31,지정 시작,신속통합기획|정비사업후보지|주요재건축단지,시보20220826_p38-82|시보20221230_p179-233
용산구,청파동1가,2023-01-02,지정 시작,신속통합기획|정비사업후보지|주요재건축단지,시보20221223_p7-30|시보20231220_p249-307
구로구,고척동,2023-01-04,지정 시작,공공재개발|모아타운|서울전역아파트|신속통합기획|외국인|정비사업후보지|주요재건축단지,국토교통부공고제2025-1058호(토지거래허가구역 지정 공고)|국토교통부공고제2025-1219호(토지거래허가구역 지정 공고문)|국토교통부공고제2026-1105호(토지거래허가구역 재지정 공고)|시보20221230_p1
금천구,독산동,2023-01-04,지정 시작,정비사업후보지|주요재건축단지,시보20221230_p179-233
동대문구,답십리동,2023-01-04,지정 시작,공공재개발|모아타운|서울전역아파트|신속통합기획|정비사업후보지|주요재건축단지,국토교통부공고제2025-1219호(토지거래허가구역 지정 공고문)|시보20221230_p179-233|시보20231220_p249-307|시보20240905_p3-79|시보20240925_p538-545|시보20241
동작구,사당동,2023-01-04,지정 시작,공공재개발|국제교류복합지구|모아타운|서울전역아파트|신속통합기획|자연녹지|정비사업후보지|주요재건축단지,국토교통부공고제2025-1219호(토지거래허가구역 지정 공고문)|시보20221230_p179-233|시보20231220_p249-307|시보20240905_p3-79|시보20241114_p608-610|시보20241
서대문구,남가좌동,2023-01-04,지정 시작,신속통합기획|정비사업후보지|주요재건축단지,시보20221230_p179-233|시보20231220_p249-307
성북구,종암동,2023-01-04,지정 시작,공공재개발|국제교류복합지구|모아타운|서울전역아파트|신속통합기획|자연녹지|정비사업후보지|주요재건축단지,국토교통부공고제2025-1219호(토지거래허가구역 지정 공고문)|시보20221230_p179-233|시보20231220_p249-307|시보20240905_p3-79|시보20241218_p364-437|시보20251
종로구,행촌동,2023-01-04,지정 시작,정비사업후보지|주요재건축단지,시보20221230_p179-233
강남구,일원동,2023-08-31,지정 종료,미분류|신속통합기획,시보20220124_p7-53|시보20220826_p38-82
강남구,일원동,2023-08-31,기록 끊김,,
강동구,고덕동,2023-08-31,지정 종료,신속통합기획,시보20220826_p38-82
강동구,고덕동,2023-08-31,기록 끊김,,
강동구,상일동,2023-08-31,지정 종료,미분류|신속통합기획,시보20220124_p7-53|시보20220826_p38-82
강동구,상일동,2023-08-31,기록 끊김,,
구로구,구로동,2023-08-31,지정 종료,신속통합기획,시보20220826_p38-82
구로구,구로동,2023-08-31,기록 끊김,,
도봉구,창동,2023-08-31,지정 종료,미분류|신속통합기획,시보20220124_p7-53|시보20220826_p38-82
도봉구,창동,2023-08-31,기록 끊김,,
마포구,아현동,2023-08-31,지정 종료,신속통합기획,시보20220826_p38-82
마포구,아현동,2023-08-31,기록 끊김,,
영등포구,도림동,2023-08-31,지정 종료,신속통합기획,시보20220826_p38-82
영등포구,도림동,2023-08-31,기록 끊김,,
종로구,연건동,2023-08-31,지정 종료,미분류|신속통합기획,시보20220124_p7-53|시보20220826_p38-82
종로구,연건동,2023-08-31,기록 끊김,,
강남구,개포동,2023-12-26,지정 시작,국제교류복합지구|신속통합기획|정비사업후보지|주요재건축단지,시보20231220_p249-307|시보20240808_p4-7
구로구,개봉동,2024-01-04,지정 종료,신속통합기획|정비사업후보지|주요재건축단지,시보20220826_p38-82|시보20221230_p179-233
구로구,개봉동,2024-01-04,기록 끊김,,
구로구,오류동,2024-01-04,지정 종료,신속통합기획|정비사업후보지|주요재건축단지,시보20220826_p38-82|시보20221230_p179-233
구로구,오류동,2024-01-04,기록 끊김,,
금천구,독산동,2024-01-04,지정 종료,정비사업후보지|주요재건축단지,시보20221230_p179-233
금천구,독산동,2024-01-04,기록 끊김,,
동대문구,휘경동,2024-01-04,지정 종료,미분류|정비사업후보지|주요재건축단지,시보20220124_p7-53|시보20221230_p179-233
동대문구,휘경동,2024-01-04,기록 끊김,,
동작구,흑석동,2024-01-04,지정 종료,미분류|정비사업후보지|주요재건축단지,시보20220124_p7-53|시보20221230_p179-233
동작구,흑석동,2024-01-04,기록 끊김,,
성북구,삼선동1가,2024-01-04,지정 종료,미분류|신속통합기획|정비사업후보지|주요재건축단지,시보20220124_p7-53|시보20220826_p38-82|시보20221230_p179-233
