자치구,법정동,시작일,종료일,상태,계열,지정방식,면적기준_㎡,구역면적_㎢,공고건수,근거공고
구로구,천왕동,2024-08-13,2024-12-31,지정,국제교류복합지구,동전체,60,3.43,1,시보20240808_p4-7
구로구,천왕동,2025-01-01,2026-08-17,불명,,,,,0,
구로구,천왕동,2026-08-18,2026-12-31,지정,신규주택공급후보지,동전체,60,3.54,1,국토교통부공고제2026-1079호(토지거래허가구역 지정 공고)
구로구,항동,2024-08-13,2024-12-31,지정,국제교류복합지구,동전체,60,3.43,1,시보20240808_p4-7
구로구,항동,2025-01-01,2026-08-17,불명,,,,,0,
구로구,항동,2026-08-18,2026-12-31,지정,신규주택공급후보지,동전체,60,3.54,1,국토교통부공고제2026-1079호(토지거래허가구역 지정 공고)
금천구,독산동,2023-01-04,2024-01-03,지정,정비사업후보지|주요재건축단지,일부,,,1,시보20221230_p179-233
금천구,독산동,2024-01-04,2024-04-03,불명,,,,,0,
금천구,독산동,2024-04-04,2029-09-09,지정,공공재개발|모아타운|신속통합기획|정비사업후보지|주요재건축단지,혼합,6,0.62,3,시보20240320_p339-342|시보20240905_p3-79
금천구,시흥동,2022-01-02,2029-09-09,지정,공공재개발|국제교류복합지구|모아타운|신규주택공급후보지|신속통합기획|정비사업후보지|주요재건축단지,혼합,18→6→60→6→60,1.69,10,국토교통부공고제2026-1079호(토지거래허가구역 지정 공고)|시보20211228_p17-40|시보20221223_p7-30|시보20221230_p179-233|시보20230322_p181-205|시보20231220
노원구,공릉동,2024-08-13,2024-12-31,지정,국제교류복합지구,동전체,60,15.9,1,시보20240808_p4-7
노원구,공릉동,2025-01-01,2026-08-17,불명,,,,,0,
노원구,공릉동,2026-08-18,2026-12-31,지정,신규주택공급후보지,동전체,60,15.92,1,국토교통부공고제2026-1079호(토지거래허가구역 지정 공고)
노원구,상계동,2021-04-04,2029-09-09,지정,공공재개발|국제교류복합지구|모아타운|신규주택공급후보지|신속통합기획|정비사업후보지|주요재건축단지,혼합,18→6→60→6→60,15.92,11,국토교통부공고제2026-1079호(토지거래허가구역 지정 공고)|시보20210330_p16-33|시보20211228_p17-40|시보20220323_p91-108|시보20221223_p7-30|시보20230322_p1
노원구,월계동,2024-09-10,2029-09-09,지정,모아타운|주요재건축단지,동전체,6,0.69,1,시보20240905_p3-79
노원구,중계동,2024-08-13,2024-12-31,지정,국제교류복합지구,동전체,60,15.9,1,시보20240808_p4-7
노원구,중계동,2025-01-01,2026-08-17,불명,,,,,0,
노원구,중계동,2026-08-18,2026-12-31,지정,신규주택공급후보지,동전체,60,15.92,1,국토교통부공고제2026-1079호(토지거래허가구역 지정 공고)
노원구,하계동,2024-08-13,2024-12-31,지정,국제교류복합지구,동전체,60,15.9,1,시보20240808_p4-7
노원구,하계동,2025-01-01,2026-08-17,불명,,,,,0,
노원구,하계동,2026-08-18,2026-12-31,지정,신규주택공급후보지,동전체,60,15.92,1,국토교통부공고제2026-1079호(토지거래허가구역 지정 공고)
도봉구,도봉동,2024-08-13,2024-12-31,지정,국제교류복합지구,동전체,60,10.2,1,시보20240808_p4-7
도봉구,도봉동,2025-01-01,2026-08-17,불명,,,,,0,
도봉구,도봉동,2026-08-18,2026-12-31,지정,신규주택공급후보지,동전체,60,9.41,1,국토교통부공고제2026-1079호(토지거래허가구역 지정 공고)
도봉구,방학동,2022-01-29,2024-01-03,지정,미분류|정비사업후보지|주요재건축단지,일부,18,0.158618,3,시보20220124_p7-53|시보20221230_p179-233
